A	Agilent Technologies, Inc. Comm
TTC	Toro Company (The) Common Stock
TTF	Thai Fund, Inc. (The) Common St
TTI	Tetra Technologies, Inc. Common
TUP	Tupperware Brands Corporation C
TVE	Tennessee Valley Authority
TWI	Titan International, Inc. (DE) 
TWN	Taiwan Fund, Inc. (The) Common 
TWO	Two Harbors Investment Corp
TWX	Time Warner Inc. New Common Sto
TY	Tri Continental Corporation Com
TYL	Tyler Technologies, Inc. Common
UBA	Urstadt Biddle Properties Inc. 
UFI	Unifi, Inc. New Common Stock
UHS	Universal Health Services, Inc.
UL	Unilever PLC Common Stock
UN	Unilever NV Common Stock
UNM	Unum Group Common Stock
UPS	United Parcel Service, Inc. Com
URI	United Rentals, Inc. Common Sto
USB	U.S. Bancorp Common Stock
USM	United States Cellular Corporat
UTI	Universal Technical Institute I
UZA	United States Cellular Corporat
VCI	N/A
VCO	Vina Concha Y Toro Common Stock
VIA	Viacom Inc.
VIT	N/A
VKQ	Invesco Municipal Trust Common 
VMO	Invesco Municipal Opportunity T
VNR	Vanguard Natural Resources LLC
VSH	Vishay Intertechnology, Inc. Co
VTA	Invesco Credit Opportunities Fu
VVC	Vectren Corporation Common Stoc
VZ	Verizon Communications Inc. Com
WAIR	Wesco Aircraft Holdings, Inc. C
WAT	Waters Corporation Common Stock
WBK	Westpac Banking Corporation Com
WBS	Webster Financial Corporation C
WCC	WESCO International, Inc. Commo
WDC	Western Digital Corporation
WDR	Waddell & Reed Financial, Inc. 
WEA	Western Asset Bond Fund Share o
WF	Woori Bank American Depositary 
WFR	N/A
WFT	Weatherford International plc (
WGL	WGL Holdings IncCommon Stock
WGO	Winnebago Industries, Inc. Comm
WHG	Westwood Holdings Group Inc Com
WLL	Whiting Petroleum Corporation C
WM	Waste Management, Inc. Common S
WMB	Williams Companies, Inc. (The) 
WMS	Advanced Drainage Systems, Inc.
WNC	Wabash National Corporation Com
WNS	WNS (Holdings) Limited Sponsore
WOR	Worthington Industries, Inc. Co
WPI	N/A
WR	Westar Energy, Inc. Common Stoc
WRB	W.R. Berkley Corporation Common
WRE	Washington Real Estate Investme
WTI	W&T Offshore, Inc. Common Stock
WTM	White Mountains Insurance Group
WTR	Aqua America, Inc. Common Stock
WU	Western Union Company (The) Com
X	United States Steel Corporation
XCO	EXCO Resources, Inc. Exco Resou
XEC	Cimarex Energy Co Common Stock
XIN	Xinyuan Real Estate Co Ltd Amer
XKE	Lehman ABS Corporation Corporat
XKK	N/A
XL	XL Group plc
XOM	Exxon Mobil Corporation Common 
XRS	TAL Education Group American De
YZC	Yanzhou Coal Mining Company Lim
ZF	Zweig Fund, Inc. (The) Common S
ZTR	Zweig Total Return Fund, Inc. (
